"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
106,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
106,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
106,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
107,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
107,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
107,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
107,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
107,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
107,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
107,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
108,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
108,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
108,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
108,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
108,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
108,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
108,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
109,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
109,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
109,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
109,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
109,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
109,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
109,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
110,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
110,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
110,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
110,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
110,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
110,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
110,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
111,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
111,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
111,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
111,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
111,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
111,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
111,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
112,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
112,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
112,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
112,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
112,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
112,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
112,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
113,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
113,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
113,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
113,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
113,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
113,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
113,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
114,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
114,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
114,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
114,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
114,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
114,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
114,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
115,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
115,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
115,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
115,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
115,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
115,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
115,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
116,2.404,8,96.593710490196,65.5989850720479,57.2699099696659,93.290302990211,-23.1102160982952,-13.5321672387716,-14.2019537454709,-17.8966691248982
116,2.404,16,96.5970576908835,65.6001514163379,57.2699915267463,93.293690395041,-23.1132131343677,-13.5340046561922,-14.2033496989486,-17.8992944816871
116,2.404,24,96.60041294974,65.6013209866269,57.2700739965303,93.2970859245089,-23.1162162494321,-13.5358458802235,-14.2047488510944,-17.9019250619702
116,2.404,32,96.6051717515413,65.6029805192037,57.2701921939853,93.3019017904886,-23.1204736523103,-13.5384562506978,-14.2067330061808,-17.9056541619495
116,2.404,40,96.6167268363998,65.6070136157375,57.2704851945127,93.3135951812389,-23.1308017614278,-13.5447894599541,-14.2115494724849,-17.9146998010189
116,2.404,48,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,56,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,64,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,72,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,80,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,88,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,96,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,104,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,112,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,120,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,128,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
116,2.404,136,94.810904886366,64.9251179962594,57.1372218702049,91.4918927928934,-21.6682753744726,-12.6361464852141,-13.4851722666705,-16.6469486024055
117,2.404,0,96.588990595907,65.5973411156941,57.2697961790986,93.2855263526734,-23.1059880467365,-13.5295752478355,-14.1999850346006,-17.8929652456151
